timestamp,LeftEye_Openness_Openness,RightEye_Openness_Openness,LeftEye_PupilDilation_PupilDilation,RightEye_PupilDilation_PupilDilation,LeftEye_PupilPosition_X,LeftEye_PupilPosition_Y,RightEye_PupilPosition_X,RightEye_PupilPosition_Y,LeftEye_Gaze_X,LeftEye_Gaze_Y,LeftEye_Gaze_Z,RightEye_Gaze_X,RightEye_Gaze_Y,RightEye_Gaze_Z,FMS,Condition
2025-07-14 16:58:08.811,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.819,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.827,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.835,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.843,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.851,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.859,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.867,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.876,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.884,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.892,1,1,2.495316,2.764465,0.514821,0.5966848,0.509552,0.5691358,-0.06010437,-0.09393311,0.9937592,-0.05607605,-0.05386353,0.9969635,0.0,MB
2025-07-14 16:58:08.900,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.908,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.916,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.924,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.933,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.941,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
2025-07-14 16:58:08.950,1,1,2.494415,2.756836,0.5148479,0.5968193,0.5093281,0.5690577,-0.06071472,-0.09494019,0.9936218,-0.05415344,-0.0532074,0.9971008,0.0,MB
