Timestamp,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL,FMS,Condition
2025-07-15 16:30:03.412,0.1396261819424637,-0.048549094969642,0.0910770877065952,0.0658125774404501,0,DB
2025-07-15 16:30:03.415,0.1504911547665797,-0.0538306695344795,0.0966604859754379,0.066136395881771,0,DB
2025-07-15 16:30:03.419,0.1642733618163984,-0.0626208909576947,0.1016524716114125,0.0653223429627314,0,DB
2025-07-15 16:30:03.423,0.1737911629453172,-0.0659018578231509,0.1078893058842024,0.0677131237706294,0,DB
2025-07-15 16:30:03.427,0.1779794066208594,-0.0621854930280686,0.1157939143640857,0.0711911988490371,0,DB
2025-07-15 16:30:03.431,0.18116452794089,-0.057498038155586,0.123666490565625,0.0726313796788303,0,DB
2025-07-15 16:30:03.435,0.185760016242091,-0.0561249781842878,0.1296350388468472,0.073074170111339,0,DB
2025-07-15 16:30:03.439,0.1912463344115872,-0.0575898371899275,0.1336564980192638,0.0735000666950416,0,DB
2025-07-15 16:30:03.443,0.1981202978112218,-0.0609285804705773,0.1371917181468068,0.0732078722797433,0,DB
2025-07-15 16:30:03.447,0.2082357931668374,-0.0664138404166338,0.1418219535648402,0.0736663016391808,0,DB
2025-07-15 16:30:03.451,0.2210376702557157,-0.0726049283516762,0.1484327427268289,0.076723471419075,0,DB
2025-07-15 16:30:03.455,0.2322280265391113,-0.0755694301162269,0.1566585972534944,0.0809390156682224,0,DB
2025-07-15 16:30:03.458,0.2376241300557068,-0.0727838931842697,0.1648402377098191,0.0848892236232103,0,DB
2025-07-15 16:30:03.462,0.2369474048404894,-0.0657891539707985,0.1711582517159232,0.0891483501373047,0,DB
2025-07-15 16:30:03.466,0.2319373056900026,-0.0578916706401968,0.1740456359036714,0.0922037248637882,0,DB
2025-07-15 16:30:03.470,0.2218613396709643,-0.051028056248821,0.1708332842831667,0.0904966775669572,0,DB
2025-07-15 16:30:03.474,0.2039396079128508,-0.0456465442444251,0.1582930645363922,0.0837662526026856,0,DB
