Timestamp,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL
2025-07-15 16:17:28.751,0.0794500927049635,-0.0286804305903715,0.0507696626097813,0.1640404645653309
2025-07-15 16:17:28.754,0.0897548219386473,-0.0264957528032226,0.0632590696248175,0.1582140210001648
2025-07-15 16:17:28.758,0.0992219164203653,-0.0261390526996832,0.0730828642041068,0.1539512741093198
2025-07-15 16:17:28.762,0.1141674767241657,-0.0326319724749938,0.0815355047267675,0.1524319316449466
2025-07-15 16:17:28.766,0.1317779872142439,-0.042676387344966,0.0891016003410692,0.1511471596555358
2025-07-15 16:17:28.770,0.145098061669686,-0.0492507121046411,0.0958473500306934,0.1464649100806516
2025-07-15 16:17:28.774,0.1534150462966848,-0.0504244854591657,0.1029905612967312,0.1368039999792143
2025-07-15 16:17:28.778,0.1612201255529609,-0.0495859982929595,0.1116341277128886,0.1252018261259469
2025-07-15 16:17:28.782,0.1702325375216553,-0.0489740418197571,0.1212584961486173,0.1170299914206759
2025-07-15 16:17:28.786,0.1785176168321642,-0.047359352437071,0.1311582648353909,0.1113642907098775
2025-07-15 16:17:28.790,0.1861067858476988,-0.0446383385658223,0.1414684477153651,0.1003264546269502
2025-07-15 16:17:28.794,0.1956499334503709,-0.0444487933570921,0.1512011405199647,0.0822043426602659
2025-07-15 16:17:28.797,0.2069597929077829,-0.0489367832485756,0.1580230100793231,0.0661292547686119
2025-07-15 16:17:28.801,0.2162211277530402,-0.0541196059671399,0.1621015221993391,0.0586229033702331
2025-07-15 16:17:28.805,0.2220593894979466,-0.0549795386384374,0.1670798512658691,0.0568474707018141
2025-07-15 16:17:28.809,0.2276236744253071,-0.0528681128944993,0.1747555619299559,0.0584517472295057
2025-07-15 16:17:28.813,0.2350965759702548,-0.0535408491277394,0.1815557272346649,0.0651973287179016
2025-07-15 16:17:28.817,0.2420269922974178,-0.0595231772722218,0.1825038154103852,0.0746522901577277
